

Device Info|Serial Number|Firmware Version|Hardware Version
|301992023;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data|Time|Battery
(0.004150390625, 0.87939453125, 0.016357421875)|2.88443008525|61 % 
(0.05224609375, 1.4345703125, -0.091552734375)|2.89394555332|61 % 
(-0.16748046875, 1.36962890625, -0.31005859375)|2.90346141645|61 % 
(-0.126953125, 1.01904296875, -0.1240234375)|2.9129634524|61 % 
(-0.134033203125, 1.13427734375, -0.1630859375)|2.92251684644|61 % 
(-0.033203125, 0.78955078125, -0.03955078125)|2.93224643822|61 % 
(-0.005859375, 1.1943359375, -0.078369140625)|2.94202106709|61 % 
(-0.20458984375, 1.113037109375, -0.006591796875)|2.95161633772|61 % 
(-0.141357421875, 0.874755859375, -0.10302734375)|2.96111797861|61 % 
(-0.206298828125, 1.0888671875, -0.19091796875)|2.97065122448|61 % 
(-0.156982421875, 0.98681640625, -0.10693359375)|2.98068224871|61 % 
(-0.177490234375, 0.873046875, -0.19384765625)|2.99031149469|61 % 
(-0.20458984375, 1.25830078125, -0.181640625)|2.99973570339|61 % 
(-0.087158203125, 0.76708984375, -0.09326171875)|3.00921917142|61 % 
(-0.0673828125, 0.843994140625, -0.114501953125)|3.01879705932|61 % 
(-0.077392578125, 1.12158203125, -0.138916015625)|3.02834847804|61 % 
(-0.10400390625, 1.040283203125, -0.171875)|3.03817288475|61 % 
(-0.045654296875, 0.902587890625, -0.150390625)|3.04789536541|61 % 
(-0.63525390625, 1.87744140625, 0.476806640625)|3.05725241353|61 % 
(-0.14013671875, 1.999755859375, -0.904541015625)|3.0667824989|61 % 
(0.3271484375, 1.999755859375, -0.439208984375)|3.07631653489|61 % 
(0.07958984375, 0.4912109375, 0.017822265625)|3.08615437371|61 % 
(0.227783203125, 1.51171875, -0.7900390625)|3.09578440982|61 % 
(0.1064453125, 0.511474609375, -0.209716796875)|3.10598373055|61 % 
(-0.003662109375, 1.187744140625, 0.075927734375)|3.11533050706|61 % 
(1.7998046875, 0.815673828125, -0.8173828125)|3.1247950121|61 % 
(0.47119140625, 1.040283203125, -0.347900390625)|3.13479561655|61 % 
(-0.015380859375, 0.99560546875, -0.12255859375)|3.15412877526|61 % 
(-0.077880859375, 1.05712890625, -0.03662109375)|3.16375486075|61 % 
(0.013427734375, 0.90869140625, -0.061767578125)|3.1732130448|61 % 
(-0.014892578125, 1.33740234375, -0.06396484375)|3.18271824125|61 % 
(-0.137939453125, 1.15673828125, 0.551025390625)|3.19273938893|61 % 
(-0.501953125, 1.136962890625, 0.444580078125)|3.20229949902|61 % 
(-0.40478515625, 1.204833984375, 0.312744140625)|3.2216622874|61 % 
(-0.1171875, 0.658203125, -0.008544921875)|3.23083444642|61 % 
(-0.331298828125, 1.16796875, 0.55126953125)|3.24036216142|61 % 
(-0.244140625, 1.1103515625, 0.212646484375)|3.24988869123|61 % 
(-0.166259765625, 0.76416015625, 0.21826171875)|3.25938045556|61 % 
(-0.0400390625, 0.88720703125, -0.690185546875)|3.26894688665|61 % 
(0.037109375, 0.919677734375, -0.29638671875)|3.27859193512|61 % 
(-0.026611328125, 0.9365234375, -0.164306640625)|3.28794898325|61 % 
(0.039794921875, 1.0439453125, -0.30810546875)|3.29745062414|61 % 
(-0.10400390625, 1.265869140625, 0.137939453125)|3.30702614166|61 % 
(0.094970703125, 1.38232421875, 0.248046875)|3.31655978259|61 % 
(-0.010498046875, 0.9169921875, -0.02783203125)|3.32606339879|61 % 
(0.695556640625, 0.552490234375, -0.42724609375)|3.33566775585|61 % 
(0.708984375, 0.8251953125, -0.101318359375)|3.34511685347|61 % 
(0.652587890625, 1.324462890625, 0.3408203125)|3.35466669195|61 % 
(0.40625, 0.90625, 0.037109375)|3.36412527106|61 % 
(0.46044921875, 1.211669921875, 0.005126953125)|3.37368893672|61 % 
(-0.22021484375, 0.72509765625, 0.338134765625)|3.38321191097|61 % 
(-0.178955078125, 0.76171875, -0.01220703125)|3.39280481123|61 % 
(0.280517578125, 0.094482421875, -0.47314453125)|3.40222862486|61 % 
(0.032470703125, 0.680908203125, -0.626220703125)|3.41175950036|61 % 
(-0.02490234375, 0.86669921875, -0.7568359375)|3.42127891905|61 % 
(-0.208984375, 1.046875, 0.185791015625)|3.43081255998|61 % 
(-0.086181640625, 1.0234375, 0.137939453125)|3.44037148488|61 % 
(0.0751953125, 0.78759765625, -0.0732421875)|3.44998097776|61 % 
(-0.1201171875, 0.877685546875, 0.2041015625)|3.45938859384|61 % 
(0.181640625, 0.808349609375, 0.353515625)|3.46893566689|61 % 
(-0.733642578125, 1.32861328125, 1.362548828125)|3.47844797446|61 % 
(-0.470703125, 0.973876953125, 0.85302734375)|3.48794882522|61 % 
(-0.418212890625, 0.975830078125, 0.67578125)|3.5071591196|61 % 
(-0.33349609375, 1.205322265625, -0.022216796875)|3.51660663697|61 % 
(-0.108642578125, 1.086181640625, 0.161865234375)|3.52609366056|61 % 
(-0.020263671875, 0.885498046875, -0.05224609375)|3.53558898045|61 % 
(0.020751953125, 1.034912109375, 0.3408203125)|3.54509575715|61 % 
(0.08349609375, 0.669677734375, -0.360107421875)|3.55468549691|61 % 
(0.114990234375, 1.2255859375, 0.22509765625)|3.5643961257|61 % 
(0.175048828125, 0.896240234375, -0.6083984375)|3.57368048239|61 % 
(0.083740234375, 1.042236328125, -0.164794921875)|3.58324691348|61 % 
(0.109619140625, 0.715087890625, 0.0224609375)|3.59276119636|61 % 
(-0.0615234375, 1.62109375, -0.0625)|3.60277878848|61 % 
(0.13232421875, 1.20751953125, -0.21728515625)|3.61224961452|61 % 
(0.141845703125, 1.011962890625, -0.292724609375)|3.62198276186|61 % 
(0.952880859375, 1.164794921875, -0.47021484375)|3.63135798284|61 % 
(1.09423828125, 0.642333984375, -0.9052734375)|3.64086357436|61 % 
(0.1259765625, 1.115966796875, -0.524169921875)|3.65039128935|61 % 
(0.071044921875, 0.884765625, -0.691650390625)|3.65993559696|61 % 
(0.090576171875, 0.751708984375, -0.85693359375)|3.6694597564|61 % 
(0.504150390625, 0.546142578125, -0.465087890625)|3.67901591587|61 % 
(0.39453125, 0.91650390625, 0.029541015625)|3.68854205062|61 % 
(0.152587890625, 1.418701171875, -0.054931640625)|3.69806897549|61 % 
(0.021728515625, 0.956787109375, 0.58544921875)|3.70756192501|61 % 
(0.08837890625, 1.556640625, -0.02734375)|3.71711255361|61 % 
(0.17431640625, 0.74951171875, 0.399658203125)|3.7362390948|61 % 
(0.059326171875, 1.392822265625, 0.57275390625)|3.74567476031|61 % 
(-0.200439453125, 1.189208984375, -0.29248046875)|3.75564494496|61 % 
(-0.349853515625, 0.794921875, -0.4970703125)|3.76521848717|61 % 
(-0.0966796875, 0.89794921875, -0.22802734375)|3.77518630146|61 % 
