

Device Info|WL Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000857>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(-0.044189453125, 0.994140625, 0.0908203125)|2.90019267183|34 % 
(-0.01123046875, 0.87353515625, -0.14501953125)|2.90966468306|34 % 
(0.01416015625, 0.822265625, -0.21533203125)|2.91918844743|34 % 
(0.04296875, 0.7734375, -0.2099609375)|2.92870905131|34 % 
(-0.003173828125, 0.859619140625, -0.177001953125)|2.94791895062|34 % 
(0.034912109375, 0.949462890625, -0.215576171875)|2.9573151099|34 % 
(-0.0068359375, 0.946533203125, -0.109619140625)|2.9668428249|34 % 
(0.001953125, 1.174560546875, -0.163330078125)|2.97637646583|34 % 
(-0.401611328125, 1.063232421875, -0.318603515625)|2.98589430427|34 % 
(-0.068359375, 1.369384765625, -0.06982421875)|2.99540858715|34 % 
(0.05712890625, 1.2197265625, 0.044189453125)|3.00515200611|34 % 
(-0.0654296875, 1.107421875, -0.17919921875)|3.0144351776|34 % 
(0.072021484375, 1.137451171875, -0.133544921875)|3.02451321424|34 % 
(0.07421875, 1.1884765625, -0.0390625)|3.0535700388|34 % 
(0.0849609375, 1.1259765625, -0.007080078125)|3.06368679153|34 % 
(0.19482421875, 1.0888671875, -0.017822265625)|3.0730549014|34 % 
(0.324951171875, 1.03173828125, -0.151123046875)|3.08263357942|34 % 
(0.36962890625, 0.913330078125, -0.125732421875)|3.09212178819|34 % 
(0.370849609375, 0.19384765625, 0.220703125)|3.13073990804|34 % 
(0.50732421875, 0.95703125, 0.326416015625)|3.15977460912|34 % 
(0.5302734375, 1.256591796875, 0.1904296875)|3.1693442007|34 % 
(0.174560546875, 0.7197265625, 0.1240234375)|3.17891023673|34 % 
(0.80224609375, 0.618408203125, -0.221435546875)|3.21877122225|34 % 
(0.867919921875, 0.854248046875, 0.12890625)|3.22877854275|34 % 
(0.947509765625, 0.783935546875, 0.12060546875)|3.23894546838|34 % 
(0.874755859375, 0.4580078125, 0.1591796875)|3.24883110973|34 % 
(0.85302734375, 0.154541015625, 0.160400390625)|3.25886647964|34 % 
(0.821044921875, -0.0302734375, 0.1318359375)|3.26887893596|34 % 
(0.669921875, -0.134033203125, 0.137939453125)|3.27840151514|34 % 
(0.523193359375, -0.249755859375, 0.22802734375)|3.28792685977|34 % 
(0.50146484375, -0.224853515625, 0.235595703125)|3.29763314287|34 % 
(0.490478515625, -0.23046875, 0.2890625)|3.30699177125|34 % 
(0.54248046875, -0.2314453125, 0.380859375)|3.31655148628|34 % 
(0.655029296875, -0.1767578125, 0.3125)|3.32601283083|34 % 
(1.00244140625, -0.231201171875, 0.05908203125)|3.3355689903|34 % 
(1.312255859375, -0.2685546875, -0.029052734375)|3.3450789275|34 % 
(1.292724609375, -0.22802734375, -0.08837890625)|3.3546714327|34 % 
(1.293701171875, -0.2802734375, -0.100830078125)|3.36413672787|34 % 
(1.23046875, -0.143798828125, -0.086181640625)|3.38320440479|34 % 
(0.899658203125, -0.23974609375, -0.112548828125)|3.39272895928|34 % 
(0.805419921875, -0.2900390625, -0.121337890625)|3.40278605762|34 % 
(0.78173828125, -0.490478515625, -0.0087890625)|3.41283327941|34 % 
(0.731689453125, -0.6171875, -0.020751953125)|3.42226617948|34 % 
(0.44287109375, -0.796630859375, 0.20703125)|3.43179349941|34 % 
