

Device Info|Sensor|Firmware Version|Hardware Version
|<YEI3Space WL:12000865>;17Mar2015N37;TSS-WL                  v2.0.0  

Raw Accelerometer Data (X, Y, Z)|Time|Battery
(-0.0205078125, 0.99560546875, -0.004150390625)|2.32678083174|45 % 
(-0.020751953125, 0.994384765625, -0.00830078125)|2.3363413369|45 % 
(-0.019775390625, 0.995849609375, -0.0087890625)|2.3460831756|45 % 
(-0.01953125, 0.990966796875, -0.0087890625)|2.35536792735|45 % 
(-0.016845703125, 0.99365234375, -0.0048828125)|2.36541119851|45 % 
(-0.01904296875, 0.992919921875, -0.00830078125)|2.37493180239|45 % 
(-0.021484375, 0.997314453125, -0.00390625)|2.38494583895|45 % 
(-0.02001953125, 0.996826171875, -0.009765625)|2.39448817125|45 % 
(-0.018310546875, 0.996337890625, -0.00732421875)|2.40431455326|45 % 
(-0.019287109375, 0.993896484375, -0.00537109375)|2.41356730497|45 % 
(-0.01904296875, 0.99560546875, -0.00634765625)|2.42302746433|45 % 
(-0.019775390625, 0.990966796875, -0.00537109375)|2.45234305463|45 % 
(-0.017578125, 0.995361328125, -0.005859375)|2.46218839963|45 % 
(-0.01708984375, 0.99755859375, -0.0087890625)|2.47140322537|45 % 
(-0.019775390625, 0.993896484375, -0.00634765625)|2.4809629404|45 % 
(-0.0166015625, 0.993408203125, -0.0078125)|2.50046360549|45 % 
(-0.021240234375, 0.995849609375, -0.0068359375)|2.50994865377|45 % 
(-0.018310546875, 0.994384765625, -0.01025390625)|2.51960002323|45 % 
(-0.01953125, 0.991455078125, -0.00537109375)|2.52896931828|45 % 
(-0.0185546875, 0.995361328125, -0.00830078125)|2.5385219222|45 % 
(-0.0205078125, 0.996826171875, -0.00390625)|2.54806267425|45 % 
(-0.020751953125, 0.99609375, -0.00732421875)|2.55755562377|45 % 
(-0.01904296875, 0.994873046875, -0.005126953125)|2.56753884548|45 % 
(-0.019775390625, 0.9951171875, -0.0078125)|2.58665551011|45 % 
(-0.021240234375, 0.9912109375, -0.00927734375)|2.61574986558|45 % 
(-0.019775390625, 0.99462890625, -0.0087890625)|2.62576311202|45 % 
(-0.01953125, 0.9912109375, -0.00634765625)|2.65489539346|45 % 
(-0.01806640625, 0.994873046875, -0.00537109375)|2.66434962688|45 % 
