Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||Sensor|FW_version|HW_version||
<YEI3Space WL:12000865>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085D>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085E>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:12000860>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:12000857>|17Mar2015N37|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085A>|24Nov2014P52|TSS-WL                  v2.0.0  ||<YEI3Space WL:1200085B>|17Mar2015N37|TSS-WL                  v2.0.0  ||

Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||Data|Time|Battery||
(0.00146484375, 0.991943359375, -0.036376953125)|17.1976488268|81%||(-0.006103515625, 0.9951171875, -0.013671875)|18.3717744653|3%||(-0.0146484375, 0.99072265625, -0.000732421875)|18.3908982411|2%||(-0.021728515625, 1.0, -0.009765625)|18.9860673415|3%||(0.001220703125, 0.976806640625, -0.026611328125)|19.5856927435|7%||(-0.03125, 0.996826171875, -0.01025390625)|20.8105625409|1%||(-0.03271484375, 1.002197265625, -0.02197265625)|20.8301445888|0%||
(0.001953125, 0.99853515625, -0.041015625)|22.007793787|81%||(-0.00439453125, 0.99560546875, -0.01708984375)|23.1393664862|3%||(-0.013427734375, 0.99072265625, -0.001953125)|23.1779506307|2%||(-0.02099609375, 1.000244140625, -0.00927734375)|23.7781259593|3%||(0.000732421875, 0.972412109375, -0.023193359375)|24.3746919996|7%||(-0.03271484375, 0.997802734375, -0.0107421875)|25.5525813957|1%||(-0.028564453125, 1.005859375, -0.0234375)|25.5816038498|0%||
(0.00146484375, 0.990478515625, -0.041015625)|26.7432802883|79%||(-0.005859375, 0.99951171875, -0.013671875)|27.9190533362|3%||(-0.01220703125, 0.99169921875, 0.00146484375)|27.9574905175|2%||(-0.02587890625, 1.0, -0.01123046875)|28.5600753305|3%||(-0.001953125, 0.97314453125, -0.023681640625)|29.166773531|7%||(-0.03173828125, 0.99853515625, -0.009765625)|30.3169137583|1%||(-0.033203125, 1.0029296875, -0.02294921875)|30.335947855|0%||
(0.0029296875, 0.9931640625, -0.037841796875)|31.5135974482|80%||(-0.00390625, 0.994873046875, -0.0107421875)|32.6892077304|3%||(-0.01416015625, 0.99267578125, -0.000732421875)|32.7089663711|2%||(-0.02392578125, 1.00634765625, -0.01611328125)|33.3078861921|3%||(-0.0009765625, 0.976806640625, -0.0244140625)|33.9062339629|7%||(-0.0322265625, 1.00048828125, -0.01025390625)|35.0272332175|1%||(-0.028564453125, 0.996826171875, -0.02001953125)|35.0463289438|0%||
(0.0009765625, 0.99267578125, -0.0419921875)|36.2189691484|81%||(-0.0048828125, 0.995849609375, -0.01513671875)|37.3957456542|3%||(-0.012451171875, 0.990234375, 0.00048828125)|37.4152558008|2%||(-0.02685546875, 1.012451171875, -0.0126953125)|38.0324176187|3%||(-0.001708984375, 0.9755859375, -0.02392578125)|38.6295375362|7%||(-0.03076171875, 0.997314453125, -0.0126953125)|39.7871784144|1%||(-0.0263671875, 1.0029296875, -0.021728515625)|39.8257558429|0%||
(0.00537109375, 0.992431640625, -0.04150390625)|40.9682899377|81%||(-0.003173828125, 0.9951171875, -0.0126953125)|42.1260161494|3%||(-0.01318359375, 0.9873046875, -0.0009765625)|42.1450624929|2%||(-0.021484375, 1.0029296875, -0.01220703125)|42.7727463973|3%||(-0.0048828125, 0.975341796875, -0.02392578125)|43.3999036838|7%||(-0.03271484375, 0.99755859375, -0.01416015625)|44.5774770301|1%||(-0.028564453125, 0.99951171875, -0.0205078125)|44.5965703861|0%||
(0.001220703125, 0.99365234375, -0.03662109375)|45.7717081739|81%||(-0.004150390625, 0.99755859375, -0.01513671875)|47.0460923015|3%||(-0.0107421875, 0.990234375, -0.002685546875)|47.0656277321|2%||(-0.01953125, 1.00390625, -0.0146484375)|47.663264391|3%||(-0.00146484375, 0.9736328125, -0.0263671875)|48.2559449947|7%||(-0.029052734375, 0.998779296875, -0.0126953125)|49.4531833519|1%||(-0.02978515625, 0.99853515625, -0.022216796875)|49.472213893|0%||
