<YEI3Space WL:12000861>


           R,                   i,                  j,                    k,        %,  Button

(-0.8773266077041626, -0.4633628726005554, 0.05187535285949707, 0.11358784884214401, 57, 0)
(-0.8702378273010254, -0.47716403007507324, 0.05318984389305115, 0.11032545566558838, 57, 0)
(-0.8651894330978394, -0.4866443872451782, 0.05327242612838745, 0.10856668651103973, 57, 0)
(-0.8569172024726868, -0.5017173290252686, 0.04919278621673584, 0.10748475790023804, 57, 0)
(-0.8506156802177429, -0.5123953819274902, 0.04472342133522034, 0.10910595208406448, 57, 0)
(-0.8450599908828735, -0.5214993953704834, 0.04131758213043213, 0.11047647148370743, 57, 0)
(-0.8362709283828735, -0.5356883406639099, 0.03589165210723877, 0.11135963350534439, 57, 0)
(-0.8244128823280334, -0.5541180968284607, 0.026971548795700073, 0.11211267113685608, 57, 0)
(-0.8116177320480347, -0.5730034708976746, 0.01894664764404297, 0.11218315362930298, 57, 0)
(-0.801030158996582, -0.5881900191307068, 0.012596428394317627, 0.11056546866893768, 57, 0)
(-0.7940181493759155, -0.5981267094612122, 0.007472515106201172, 0.10827749222517014, 57, 0)
(-0.7810938358306885, -0.6159057021141052, -0.0010024011135101318, 0.1027228832244873, 57, 0)
(-0.7725493907928467, -0.6275089979171753, -0.006506174802780151, 0.09673549234867096, 57, 0)
(-0.7635773420333862, -0.6392989754676819, -0.014305979013442993, 0.08967772871255875, 57, 0)
(-0.7524808645248413, -0.6525898575782776, -0.024420052766799927, 0.08545613288879395, 57, 0)
(-0.7418645620346069, -0.6644721627235413, -0.033330678939819336, 0.08368399739265442, 57, 0)
(-0.7244693636894226, -0.6828023791313171, -0.04688823223114014, 0.08201632648706436, 57, 0)
(-0.7139185667037964, -0.6933494806289673, -0.054727524518966675, 0.0811908096075058, 57, 0)
(-0.6969839930534363, -0.7094482779502869, -0.06690874695777893, 0.08012326806783676, 57, 0)
(-0.6848549842834473, -0.7203517556190491, -0.07546854019165039, 0.07982330024242401, 57, 0)
(-0.6597381234169006, -0.7414395809173584, -0.0924077033996582, 0.08046013861894608, 57, 0)
(-0.6381943821907043, -0.7580532431602478, -0.10565385222434998, 0.08307112008333206, 57, 0)
(-0.6057084202766418, -0.7814037799835205, -0.1230560690164566, 0.08592428267002106, 57, 0)
(-0.5775757431983948, -0.8001813292503357, -0.13577115535736084, 0.08765024691820145, 57, 0)
(-0.5561422109603882, -0.8136306405067444, -0.1440209299325943, 0.08927107602357864, 57, 0)
(-0.5332061052322388, -0.827251136302948, -0.15200422704219818, 0.09078468382358551, 57, 0)
(-0.49851322174072266, -0.8464500308036804, -0.1636061668395996, 0.09077537804841995, 57, 0)
(-0.45237258076667786, -0.8691743016242981, -0.18128308653831482, 0.08385512977838516, 57, 0)
(-0.4280029833316803, -0.879332423210144, -0.19413794577121735, 0.07680350542068481, 57, 0)
(-0.3909634053707123, -0.8929647207260132, -0.2134149670600891, 0.0649280771613121, 57, 0)
(-0.33911073207855225, -0.9097228050231934, -0.2345336675643921, 0.04901545122265816, 57, 0)
(-0.29812976717948914, -0.9210673570632935, -0.24780288338661194, 0.0367080420255661, 57, 0)
(-0.2440420538187027, -0.9329894781112671, -0.2638603448867798, 0.01876313053071499, 57, 0)
(-0.18769900500774384, -0.9420444965362549, -0.27803510427474976, -0.004210020415484905, 57, 0)
(-0.13223648071289062, -0.9469988942146301, -0.29118812084198, -0.03026748262345791, 57, 0)
(-0.09307771921157837, -0.9475574493408203, -0.3015902638435364, -0.05014696344733238, 57, 0)
(-0.041763901710510254, -0.9455848336219788, -0.3136495351791382, -0.07582304626703262, 57, 0)
(-0.0011403616517782211, -0.9420610666275024, -0.3216594159603119, -0.09515833109617233, 57, 0)
(0.05212085694074631, -0.9335649013519287, -0.33422693610191345, -0.11845995485782623, 57, 0)
(0.10343968868255615, -0.921282172203064, -0.3480795919895172, -0.1392124891281128, 57, 0)
(0.1387428492307663, -0.910305380821228, -0.35835790634155273, -0.15386413037776947, 57, 0)
(0.17793449759483337, -0.8953012228012085, -0.3712111711502075, -0.17022772133350372, 57, 0)
(0.19530080258846283, -0.8876858353614807, -0.3773355484008789, -0.1774531453847885, 57, 0)
(0.21764527261257172, -0.8769451975822449, -0.3856102228164673, -0.18682250380516052, 57, 0)
(0.2324996441602707, -0.8696399331092834, -0.39047953486442566, -0.19286321103572845, 57, 0)
(0.26340457797050476, -0.8545312285423279, -0.3983110189437866, -0.20431137084960938, 57, 0)
(0.29652655124664307, -0.8372962474822998, -0.405838280916214, -0.21517972648143768, 57, 0)
(0.3221867084503174, -0.8227750658988953, -0.41163650155067444, -0.22314229607582092, 57, 0)
(0.3572014570236206, -0.8013539910316467, -0.4182129204273224, -0.23523835837841034, 57, 0)
(0.3755948543548584, -0.789055585861206, -0.42138683795928955, -0.24239042401313782, 57, 0)
(0.41080033779144287, -0.7636735439300537, -0.4269668161869049, -0.2564085125923157, 57, 0)
(0.44433969259262085, -0.7371548414230347, -0.4314592778682709, -0.270200252532959, 57, 0)
(0.46885108947753906, -0.7155739068984985, -0.435299813747406, -0.2804407477378845, 57, 0)
